,Simulator Time,Packet Ident,Packet Create,Packet Time to Creation,Packet Transmission Delay,Packet Propagation Delay,Packet Queueing Delay
0,0.216,1,0.0,0.216,0.016,0.2,0.0
1,0.224,2,0.008,0.216,0.016,0.2,0.0
2,0.232,3,0.016,0.216,0.016,0.2,1.38777878078e-17
3,0.24,4,0.024,0.216,0.016,0.2,2.77555756156e-17
4,0.248,5,0.032,0.216,0.016,0.2,2.77555756156e-17
5,0.256,6,0.04,0.216,0.016,0.2,2.77555756156e-17
6,0.264,7,0.048,0.216,0.016,0.2,2.77555756156e-17
7,0.272,8,0.056,0.216,0.016,0.2,5.55111512313e-17
8,0.28,9,0.064,0.216,0.016,0.2,5.55111512313e-17
9,0.288,10,0.072,0.216,0.016,0.2,5.55111512313e-17
10,0.296,11,0.08,0.216,0.016,0.2,6.93889390391e-17
11,0.304,12,0.088,0.216,0.016,0.2,8.32667268469e-17
12,0.312,13,0.096,0.216,0.016,0.2,8.32667268469e-17
13,0.32,14,0.104,0.216,0.016,0.2,8.32667268469e-17
14,0.328,15,0.112,0.216,0.016,0.2,9.71445146547e-17
15,0.336,16,0.12,0.216,0.016,0.2,1.11022302463e-16
16,0.344,17,0.128,0.216,0.016,0.2,1.11022302463e-16
17,0.352,18,0.136,0.216,0.016,0.2,1.11022302463e-16
18,0.36,19,0.144,0.216,0.016,0.2,5.55111512313e-17
19,0.368,20,0.152,0.216,0.016,0.2,8.32667268469e-17
20,0.376,21,0.16,0.216,0.016,0.2,8.32667268469e-17
21,0.384,22,0.168,0.216,0.016,0.2,8.32667268469e-17
22,0.392,23,0.176,0.216,0.016,0.2,1.11022302463e-16
23,0.4,24,0.184,0.216,0.016,0.2,1.11022302463e-16
24,0.408,25,0.192,0.216,0.016,0.2,1.11022302463e-16
25,0.416,26,0.2,0.216,0.016,0.2,1.11022302463e-16
26,0.424,27,0.208,0.216,0.016,0.2,1.11022302463e-16
27,0.432,28,0.216,0.216,0.016,0.2,1.38777878078e-16
28,0.44,29,0.224,0.216,0.016,0.2,1.38777878078e-16
29,0.448,30,0.232,0.216,0.016,0.2,1.38777878078e-16
30,0.456,31,0.24,0.216,0.016,0.2,1.66533453694e-16
31,0.464,32,0.248,0.216,0.016,0.2,1.66533453694e-16
32,0.472,33,0.256,0.216,0.016,0.2,1.66533453694e-16
33,0.48,34,0.264,0.216,0.016,0.2,1.66533453694e-16
34,0.488,35,0.272,0.216,0.016,0.2,1.66533453694e-16
35,0.496,36,0.28,0.216,0.016,0.2,1.66533453694e-16
36,0.504,37,0.288,0.216,0.016,0.2,1.66533453694e-16
37,0.512,38,0.296,0.216,0.016,0.2,2.22044604925e-16
38,0.52,39,0.304,0.216,0.016,0.2,2.22044604925e-16
39,0.528,40,0.312,0.216,0.016,0.2,2.22044604925e-16
40,0.536,41,0.32,0.216,0.016,0.2,2.22044604925e-16
41,0.544,42,0.328,0.216,0.016,0.2,2.22044604925e-16
42,0.552,43,0.336,0.216,0.016,0.2,2.22044604925e-16
43,0.56,44,0.344,0.216,0.016,0.2,2.22044604925e-16
44,0.568,45,0.352,0.216,0.016,0.2,2.77555756156e-16
45,0.576,46,0.36,0.216,0.016,0.2,2.77555756156e-16
46,0.584,47,0.368,0.216,0.016,0.2,2.77555756156e-16
47,0.592,48,0.376,0.216,0.016,0.2,2.77555756156e-16
48,0.6,49,0.384,0.216,0.016,0.2,2.77555756156e-16
49,0.608,50,0.392,0.216,0.016,0.2,2.77555756156e-16
50,0.616,51,0.4,0.216,0.016,0.2,2.77555756156e-16
51,0.624,52,0.408,0.216,0.016,0.2,2.77555756156e-16
52,0.632,53,0.416,0.216,0.016,0.2,2.77555756156e-16
53,0.64,54,0.424,0.216,0.016,0.2,3.33066907388e-16
54,0.648,55,0.432,0.216,0.016,0.2,3.33066907388e-16
55,0.656,56,0.44,0.216,0.016,0.2,3.33066907388e-16
56,0.664,57,0.448,0.216,0.016,0.2,3.33066907388e-16
57,0.672,58,0.456,0.216,0.016,0.2,3.33066907388e-16
58,0.68,59,0.464,0.216,0.016,0.2,3.33066907388e-16
59,0.688,60,0.472,0.216,0.016,0.2,3.33066907388e-16
60,0.696,61,0.48,0.216,0.016,0.2,3.88578058619e-16
61,0.704,62,0.488,0.216,0.016,0.2,3.88578058619e-16
62,0.712,63,0.496,0.216,0.016,0.2,3.88578058619e-16
63,0.72,64,0.504,0.216,0.016,0.2,4.4408920985e-16
64,0.728,65,0.512,0.216,0.016,0.2,4.4408920985e-16
65,0.736,66,0.52,0.216,0.016,0.2,4.4408920985e-16
66,0.744,67,0.528,0.216,0.016,0.2,4.4408920985e-16
67,0.752,68,0.536,0.216,0.016,0.2,4.4408920985e-16
68,0.76,69,0.544,0.216,0.016,0.2,4.4408920985e-16
69,0.768,70,0.552,0.216,0.016,0.2,4.4408920985e-16
70,0.776,71,0.56,0.216,0.016,0.2,4.4408920985e-16
71,0.784,72,0.568,0.216,0.016,0.2,4.4408920985e-16
72,0.792,73,0.576,0.216,0.016,0.2,4.4408920985e-16
73,0.8,74,0.584,0.216,0.016,0.2,5.55111512313e-16
74,0.808,75,0.592,0.216,0.016,0.2,5.55111512313e-16
75,0.816,76,0.6,0.216,0.016,0.2,5.55111512313e-16
76,0.824,77,0.608,0.216,0.016,0.2,5.55111512313e-16
77,0.832,78,0.616,0.216,0.016,0.2,5.55111512313e-16
78,0.84,79,0.624,0.216,0.016,0.2,5.55111512313e-16
79,0.848,80,0.632,0.216,0.016,0.2,5.55111512313e-16
80,0.856,81,0.64,0.216,0.016,0.2,5.55111512313e-16
81,0.864,82,0.648,0.216,0.016,0.2,5.55111512313e-16
82,0.872,83,0.656,0.216,0.016,0.2,5.55111512313e-16
83,0.88,84,0.664,0.216,0.016,0.2,5.55111512313e-16
84,0.888,85,0.672,0.216,0.016,0.2,5.55111512313e-16
85,0.896,86,0.68,0.216,0.016,0.2,5.55111512313e-16
86,0.904,87,0.688,0.216,0.016,0.2,5.55111512313e-16
87,0.912,88,0.696,0.216,0.016,0.2,5.55111512313e-16
88,0.92,89,0.704,0.216,0.016,0.2,6.66133814775e-16
89,0.928,90,0.712,0.216,0.016,0.2,6.66133814775e-16
90,0.936,91,0.72,0.216,0.016,0.2,6.66133814775e-16
91,0.944,92,0.728,0.216,0.016,0.2,6.66133814775e-16
92,0.952,93,0.736,0.216,0.016,0.2,6.66133814775e-16
93,0.96,94,0.744,0.216,0.016,0.2,6.66133814775e-16
94,0.968,95,0.752,0.216,0.016,0.2,6.66133814775e-16
95,0.976,96,0.76,0.216,0.016,0.2,6.66133814775e-16
96,0.984,97,0.768,0.216,0.016,0.2,6.66133814775e-16
97,0.992,98,0.776,0.216,0.016,0.2,6.66133814775e-16
98,1.0,99,0.784,0.216,0.016,0.2,6.66133814775e-16
99,1.008,100,0.792,0.216,0.016,0.2,6.66133814775e-16
100,1.016,101,0.8,0.216,0.016,0.2,6.66133814775e-16
101,1.024,102,0.808,0.216,0.016,0.2,6.66133814775e-16
102,1.032,103,0.816,0.216,0.016,0.2,6.66133814775e-16
103,1.04,104,0.824,0.216,0.016,0.2,6.66133814775e-16
104,1.048,105,0.832,0.216,0.016,0.2,6.66133814775e-16
105,1.056,106,0.84,0.216,0.016,0.2,7.77156117238e-16
106,1.064,107,0.848,0.216,0.016,0.2,7.77156117238e-16
107,1.072,108,0.856,0.216,0.016,0.2,7.77156117238e-16
108,1.08,109,0.864,0.216,0.016,0.2,7.77156117238e-16
109,1.088,110,0.872,0.216,0.016,0.2,7.77156117238e-16
110,1.096,111,0.88,0.216,0.016,0.2,7.77156117238e-16
111,1.104,112,0.888,0.216,0.016,0.2,7.77156117238e-16
112,1.112,113,0.896,0.216,0.016,0.2,6.66133814775e-16
113,1.12,114,0.904,0.216,0.016,0.2,6.66133814775e-16
114,1.128,115,0.912,0.216,0.016,0.2,6.66133814775e-16
115,1.136,116,0.92,0.216,0.016,0.2,6.66133814775e-16
116,1.144,117,0.928,0.216,0.016,0.2,6.66133814775e-16
117,1.152,118,0.936,0.216,0.016,0.2,6.66133814775e-16
118,1.16,119,0.944,0.216,0.016,0.2,6.66133814775e-16
119,1.168,120,0.952,0.216,0.016,0.2,6.66133814775e-16
120,1.176,121,0.96,0.216,0.016,0.2,7.77156117238e-16
121,1.184,122,0.968,0.216,0.016,0.2,7.77156117238e-16
122,1.192,123,0.976,0.216,0.016,0.2,7.77156117238e-16
123,1.2,124,0.984,0.216,0.016,0.2,7.77156117238e-16
124,1.208,125,0.992,0.216,0.016,0.2,7.77156117238e-16
125,1.216,126,1.0,0.216,0.016,0.2,6.66133814775e-16
126,1.224,127,1.008,0.216,0.016,0.2,6.66133814775e-16
127,1.232,128,1.016,0.216,0.016,0.2,6.66133814775e-16
128,1.24,129,1.024,0.216,0.016,0.2,6.66133814775e-16
129,1.248,130,1.032,0.216,0.016,0.2,6.66133814775e-16
130,1.256,131,1.04,0.216,0.016,0.2,6.66133814775e-16
131,1.264,132,1.048,0.216,0.016,0.2,6.66133814775e-16
132,1.272,133,1.056,0.216,0.016,0.2,6.66133814775e-16
133,1.28,134,1.064,0.216,0.016,0.2,6.66133814775e-16
134,1.288,135,1.072,0.216,0.016,0.2,6.66133814775e-16
135,1.296,136,1.08,0.216,0.016,0.2,6.66133814775e-16
136,1.304,137,1.088,0.216,0.016,0.2,6.66133814775e-16
137,1.312,138,1.096,0.216,0.016,0.2,6.66133814775e-16
138,1.32,139,1.104,0.216,0.016,0.2,6.66133814775e-16
139,1.328,140,1.112,0.216,0.016,0.2,6.66133814775e-16
140,1.336,141,1.12,0.216,0.016,0.2,6.66133814775e-16
141,1.344,142,1.128,0.216,0.016,0.2,6.66133814775e-16
142,1.352,143,1.136,0.216,0.016,0.2,6.66133814775e-16
143,1.36,144,1.144,0.216,0.016,0.2,6.66133814775e-16
144,1.368,145,1.152,0.216,0.016,0.2,6.66133814775e-16
145,1.376,146,1.16,0.216,0.016,0.2,8.881784197e-16
146,1.384,147,1.168,0.216,0.016,0.2,8.881784197e-16
147,1.392,148,1.176,0.216,0.016,0.2,8.881784197e-16
148,1.4,149,1.184,0.216,0.016,0.2,8.881784197e-16
149,1.408,150,1.192,0.216,0.016,0.2,8.881784197e-16
150,1.416,151,1.2,0.216,0.016,0.2,8.881784197e-16
151,1.424,152,1.208,0.216,0.016,0.2,8.881784197e-16
152,1.432,153,1.216,0.216,0.016,0.2,8.881784197e-16
153,1.44,154,1.224,0.216,0.016,0.2,8.881784197e-16
154,1.448,155,1.232,0.216,0.016,0.2,8.881784197e-16
155,1.456,156,1.24,0.216,0.016,0.2,8.881784197e-16
156,1.464,157,1.248,0.216,0.016,0.2,8.881784197e-16
157,1.472,158,1.256,0.216,0.016,0.2,8.881784197e-16
158,1.48,159,1.264,0.216,0.016,0.2,8.881784197e-16
159,1.488,160,1.272,0.216,0.016,0.2,8.881784197e-16
160,1.496,161,1.28,0.216,0.016,0.2,8.881784197e-16
161,1.504,162,1.288,0.216,0.016,0.2,8.881784197e-16
162,1.512,163,1.296,0.216,0.016,0.2,8.881784197e-16
163,1.52,164,1.304,0.216,0.016,0.2,8.881784197e-16
164,1.528,165,1.312,0.216,0.016,0.2,8.881784197e-16
165,1.536,166,1.32,0.216,0.016,0.2,8.881784197e-16
166,1.544,167,1.328,0.216,0.016,0.2,8.881784197e-16
167,1.552,168,1.336,0.216,0.016,0.2,8.881784197e-16
168,1.56,169,1.344,0.216,0.016,0.2,8.881784197e-16
169,1.568,170,1.352,0.216,0.016,0.2,8.881784197e-16
170,1.576,171,1.36,0.216,0.016,0.2,8.881784197e-16
171,1.584,172,1.368,0.216,0.016,0.2,8.881784197e-16
172,1.592,173,1.376,0.216,0.016,0.2,8.881784197e-16
173,1.6,174,1.384,0.216,0.016,0.2,8.881784197e-16
174,1.608,175,1.392,0.216,0.016,0.2,8.881784197e-16
175,1.616,176,1.4,0.216,0.016,0.2,8.881784197e-16
176,1.624,177,1.408,0.216,0.016,0.2,1.11022302463e-15
177,1.632,178,1.416,0.216,0.016,0.2,1.11022302463e-15
178,1.64,179,1.424,0.216,0.016,0.2,1.11022302463e-15
179,1.648,180,1.432,0.216,0.016,0.2,1.11022302463e-15
180,1.656,181,1.44,0.216,0.016,0.2,1.11022302463e-15
181,1.664,182,1.448,0.216,0.016,0.2,1.11022302463e-15
182,1.672,183,1.456,0.216,0.016,0.2,1.11022302463e-15
183,1.68,184,1.464,0.216,0.016,0.2,1.11022302463e-15
184,1.688,185,1.472,0.216,0.016,0.2,1.11022302463e-15
185,1.696,186,1.48,0.216,0.016,0.2,1.11022302463e-15
186,1.704,187,1.488,0.216,0.016,0.2,1.11022302463e-15
187,1.712,188,1.496,0.216,0.016,0.2,1.11022302463e-15
188,1.72,189,1.504,0.216,0.016,0.2,1.11022302463e-15
189,1.728,190,1.512,0.216,0.016,0.2,1.11022302463e-15
190,1.736,191,1.52,0.216,0.016,0.2,1.11022302463e-15
191,1.744,192,1.528,0.216,0.016,0.2,1.11022302463e-15
192,1.752,193,1.536,0.216,0.016,0.2,1.11022302463e-15
193,1.76,194,1.544,0.216,0.016,0.2,1.11022302463e-15
194,1.768,195,1.552,0.216,0.016,0.2,1.11022302463e-15
