,Simulator Time,Packet Ident,Packet Create,Packet Time to Creation,Packet Transmission Delay,Packet Propagation Delay,Packet Queueing Delay
0,0.200128,1,0.0,0.200128,0.000128,0.2,0.0
1,0.200192,2,8e-06,0.200184,0.000128,0.2,5.6e-05
2,0.200256,3,1.6e-05,0.20024,0.000128,0.2,0.000112
3,0.20032,4,2.4e-05,0.200296,0.000128,0.2,0.000168
4,0.200384,5,3.2e-05,0.200352,0.000128,0.2,0.000224
5,0.200448,6,4e-05,0.200408,0.000128,0.2,0.00028
6,0.200512,7,4.8e-05,0.200464,0.000128,0.2,0.000336
7,0.200576,8,5.6e-05,0.20052,0.000128,0.2,0.000392
8,0.20064,9,6.4e-05,0.200576,0.000128,0.2,0.000448
9,0.200704,10,7.2e-05,0.200632,0.000128,0.2,0.000504
10,0.200768,11,8e-05,0.200688,0.000128,0.2,0.00056
11,0.200832,12,8.8e-05,0.200744,0.000128,0.2,0.000616
12,0.200896,13,9.6e-05,0.2008,0.000128,0.2,0.000672
13,0.20096,14,0.000104,0.200856,0.000128,0.2,0.000728
14,0.201024,15,0.000112,0.200912,0.000128,0.2,0.000784
15,0.201088,16,0.00012,0.200968,0.000128,0.2,0.00084
16,0.201152,17,0.000128,0.201024,0.000128,0.2,0.000896
17,0.201216,18,0.000136,0.20108,0.000128,0.2,0.000952
18,0.20128,19,0.000144,0.201136,0.000128,0.2,0.001008
19,0.201344,20,0.000152,0.201192,0.000128,0.2,0.001064
20,0.201408,21,0.00016,0.201248,0.000128,0.2,0.00112
21,0.201472,22,0.000168,0.201304,0.000128,0.2,0.001176
22,0.201536,23,0.000176,0.20136,0.000128,0.2,0.001232
23,0.2016,24,0.000184,0.201416,0.000128,0.2,0.001288
24,0.201664,25,0.000192,0.201472,0.000128,0.2,0.001344
25,0.201728,26,0.0002,0.201528,0.000128,0.2,0.0014
26,0.201792,27,0.000208,0.201584,0.000128,0.2,0.001456
27,0.201856,28,0.000216,0.20164,0.000128,0.2,0.001512
28,0.20192,29,0.000224,0.201696,0.000128,0.2,0.001568
29,0.201984,30,0.000232,0.201752,0.000128,0.2,0.001624
30,0.202048,31,0.00024,0.201808,0.000128,0.2,0.00168
31,0.202112,32,0.000248,0.201864,0.000128,0.2,0.001736
32,0.202176,33,0.000256,0.20192,0.000128,0.2,0.001792
33,0.20224,34,0.000264,0.201976,0.000128,0.2,0.001848
34,0.202304,35,0.000272,0.202032,0.000128,0.2,0.001904
35,0.202368,36,0.00028,0.202088,0.000128,0.2,0.00196
36,0.202432,37,0.000288,0.202144,0.000128,0.2,0.002016
37,0.202496,38,0.000296,0.2022,0.000128,0.2,0.002072
38,0.20256,39,0.000304,0.202256,0.000128,0.2,0.002128
39,0.202624,40,0.000312,0.202312,0.000128,0.2,0.002184
40,0.202688,41,0.00032,0.202368,0.000128,0.2,0.00224
41,0.202752,42,0.000328,0.202424,0.000128,0.2,0.002296
42,0.202816,43,0.000336,0.20248,0.000128,0.2,0.002352
43,0.20288,44,0.000344,0.202536,0.000128,0.2,0.002408
44,0.202944,45,0.000352,0.202592,0.000128,0.2,0.002464
45,0.203008,46,0.00036,0.202648,0.000128,0.2,0.00252
46,0.203072,47,0.000368,0.202704,0.000128,0.2,0.002576
47,0.203136,48,0.000376,0.20276,0.000128,0.2,0.002632
48,0.2032,49,0.000384,0.202816,0.000128,0.2,0.002688
49,0.203264,50,0.000392,0.202872,0.000128,0.2,0.002744
50,0.203328,51,0.0004,0.202928,0.000128,0.2,0.0028
51,0.203392,52,0.000408,0.202984,0.000128,0.2,0.002856
52,0.203456,53,0.000416,0.20304,0.000128,0.2,0.002912
53,0.20352,54,0.000424,0.203096,0.000128,0.2,0.002968
54,0.203584,55,0.000432,0.203152,0.000128,0.2,0.003024
55,0.203648,56,0.00044,0.203208,0.000128,0.2,0.00308
56,0.203712,57,0.000448,0.203264,0.000128,0.2,0.003136
57,0.203776,58,0.000456,0.20332,0.000128,0.2,0.003192
58,0.20384,59,0.000464,0.203376,0.000128,0.2,0.003248
59,0.203904,60,0.000472,0.203432,0.000128,0.2,0.003304
60,0.203968,61,0.00048,0.203488,0.000128,0.2,0.00336
61,0.204032,62,0.000488,0.203544,0.000128,0.2,0.003416
62,0.204096,63,0.000496,0.2036,0.000128,0.2,0.003472
63,0.20416,64,0.000504,0.203656,0.000128,0.2,0.003528
64,0.204224,65,0.000512,0.203712,0.000128,0.2,0.003584
65,0.204288,66,0.00052,0.203768,0.000128,0.2,0.00364
66,0.204352,67,0.000528,0.203824,0.000128,0.2,0.003696
67,0.204416,68,0.000536,0.20388,0.000128,0.2,0.003752
68,0.20448,69,0.000544,0.203936,0.000128,0.2,0.003808
69,0.204544,70,0.000552,0.203992,0.000128,0.2,0.003864
70,0.204608,71,0.00056,0.204048,0.000128,0.2,0.00392
71,0.204672,72,0.000568,0.204104,0.000128,0.2,0.003976
72,0.204736,73,0.000576,0.20416,0.000128,0.2,0.004032
73,0.2048,74,0.000584,0.204216,0.000128,0.2,0.004088
74,0.204864,75,0.000592,0.204272,0.000128,0.2,0.004144
75,0.204928,76,0.0006,0.204328,0.000128,0.2,0.0042
76,0.204992,77,0.000608,0.204384,0.000128,0.2,0.004256
77,0.205056,78,0.000616,0.20444,0.000128,0.2,0.004312
78,0.20512,79,0.000624,0.204496,0.000128,0.2,0.004368
79,0.205184,80,0.000632,0.204552,0.000128,0.2,0.004424
80,0.205248,81,0.00064,0.204608,0.000128,0.2,0.00448
81,0.205312,82,0.000648,0.204664,0.000128,0.2,0.004536
82,0.205376,83,0.000656,0.20472,0.000128,0.2,0.004592
83,0.20544,84,0.000664,0.204776,0.000128,0.2,0.004648
84,0.205504,85,0.000672,0.204832,0.000128,0.2,0.004704
85,0.205568,86,0.00068,0.204888,0.000128,0.2,0.00476
86,0.205632,87,0.000688,0.204944,0.000128,0.2,0.004816
87,0.205696,88,0.000696,0.205,0.000128,0.2,0.004872
88,0.20576,89,0.000704,0.205056,0.000128,0.2,0.004928
89,0.205824,90,0.000712,0.205112,0.000128,0.2,0.004984
90,0.205888,91,0.00072,0.205168,0.000128,0.2,0.00504
91,0.205952,92,0.000728,0.205224,0.000128,0.2,0.005096
92,0.206016,93,0.000736,0.20528,0.000128,0.2,0.005152
93,0.20608,94,0.000744,0.205336,0.000128,0.2,0.005208
94,0.206144,95,0.000752,0.205392,0.000128,0.2,0.005264
95,0.206208,96,0.00076,0.205448,0.000128,0.2,0.00532
96,0.206272,97,0.000768,0.205504,0.000128,0.2,0.005376
97,0.206336,98,0.000776,0.20556,0.000128,0.2,0.005432
98,0.2064,99,0.000784,0.205616,0.000128,0.2,0.005488
99,0.206464,100,0.000792,0.205672,0.000128,0.2,0.005544
100,0.206528,101,0.0008,0.205728,0.000128,0.2,0.0056
101,0.206592,102,0.000808,0.205784,0.000128,0.2,0.005656
102,0.206656,103,0.000816,0.20584,0.000128,0.2,0.005712
103,0.20672,104,0.000824,0.205896,0.000128,0.2,0.005768
104,0.206784,105,0.000832,0.205952,0.000128,0.2,0.005824
105,0.206848,106,0.00084,0.206008,0.000128,0.2,0.00588
106,0.206912,107,0.000848,0.206064,0.000128,0.2,0.005936
107,0.206976,108,0.000856,0.20612,0.000128,0.2,0.005992
108,0.20704,109,0.000864,0.206176,0.000128,0.2,0.006048
109,0.207104,110,0.000872,0.206232,0.000128,0.2,0.006104
110,0.207168,111,0.00088,0.206288,0.000128,0.2,0.00616
111,0.207232,112,0.000888,0.206344,0.000128,0.2,0.006216
112,0.207296,113,0.000896,0.2064,0.000128,0.2,0.006272
113,0.20736,114,0.000904,0.206456,0.000128,0.2,0.006328
114,0.207424,115,0.000912,0.206512,0.000128,0.2,0.006384
115,0.207488,116,0.00092,0.206568,0.000128,0.2,0.00644
116,0.207552,117,0.000928,0.206624,0.000128,0.2,0.006496
117,0.207616,118,0.000936,0.20668,0.000128,0.2,0.006552
118,0.20768,119,0.000944,0.206736,0.000128,0.2,0.006608
