Time,Congestion Window
0.208,2000
0.416,3000
0.424,4000
0.624,5000
0.632,6000
0.64,7000
0.648,8000
0.832,9000
0.84,10000
0.848,11000
0.856,12000
0.864,13000
0.872,14000
0.88,15000
1.056,1000
1.264,2000
1.472,3000
1.48,4000
1.68,5000
1.688,6000
1.696,7000
1.704,7000
1.888,7000
1.896,7000
1.904,7000
1.912,7000
1.92,7000
1.928,7000
1.936,8000
2.056,1000
2.096,2000
2.104,3000
2.112,4000
2.12,4000
2.128,4000
2.136,4000
2.144,5000
2.152,5000
2.312,1000
2.36,2000
2.368,2000
2.376,3000
2.384,3000
2.392,3000
2.576,1000
2.6,2000
2.608,2000
2.616,3000
2.816,1000
2.824,2000
2.832,2000
2.84,3000
2.936,1000
3.04,1000
3.048,2000
3.056,2000
3.064,3000
3.256,1000
3.272,2000
3.28,2000
3.288,3000
3.312,1000
3.488,1000
3.496,2000
3.504,2000
3.512,3000
3.576,1000
3.704,1000
3.72,2000
3.728,2000
3.736,3000
3.816,1000
3.84,1000
3.928,1000
3.944,2000
3.952,2000
3.96,3000
4.04,1000
4.136,1000
4.168,2000
4.176,2000
4.184,3000
4.256,1000
4.288,1000
4.376,1000
4.392,2000
4.4,2000
4.408,3000
4.488,1000
4.52,1000
4.584,1000
4.616,2000
4.624,2000
4.632,3000
4.704,1000
4.784,1000
4.792,1000
4.816,1000
4.84,2000
4.848,2000
4.856,3000
4.928,1000
5.0,1000
5.024,1000
5.064,2000
5.072,2000
5.08,3000
5.136,1000
5.232,1000
5.248,1000
5.256,1000
5.288,2000
5.296,2000
5.304,3000
5.376,1000
5.456,1000
5.464,1000
5.496,1000
5.512,2000
5.52,2000
5.528,3000
5.584,1000
5.672,1000
5.696,1000
5.728,1000
5.736,2000
5.744,2000
5.752,3000
5.792,1000
5.792,1000
5.904,1000
5.912,1000
5.96,2000
5.968,2000
5.976,3000
6.0,1000
6.024,1000
6.08,1000
6.112,1000
6.184,2000
6.192,2000
6.2,3000
6.232,1000
6.232,1000
6.248,1000
6.288,1000
6.344,1000
6.408,2000
6.416,2000
6.424,3000
6.456,1000
6.456,1000
6.456,1000
6.496,1000
6.528,1000
6.632,2000
6.64,2000
6.648,3000
6.672,1000
6.672,1000
6.68,1000
6.728,1000
6.752,1000
6.792,1000
6.856,2000
6.864,2000
6.872,3000
6.896,1000
6.904,1000
6.904,1000
7.0,1000
7.008,1000
7.024,1000
7.08,2000
7.088,2000
7.096,3000
7.112,1000
7.12,1000
7.232,1000
7.232,1000
7.232,1000
7.288,1000
7.304,2000
7.312,2000
7.32,3000
7.32,1000
7.44,1000
7.448,1000
7.456,1000
7.456,1000
7.456,1000
7.496,1000
7.528,2000
7.536,2000
7.544,3000
7.656,1000
7.672,1000
7.672,1000
7.68,1000
7.704,1000
7.736,1000
7.752,2000
7.752,1000
7.76,2000
7.768,2000
7.888,1000
7.896,1000
7.896,1000
7.904,1000
7.96,1000
7.992,2000
8.0,2000
8.0,1000
8.008,1000
8.104,1000
8.112,1000
8.12,1000
8.208,2000
8.216,2000
8.216,1000
8.232,1000
8.232,1000
8.288,1000
8.312,1000
8.32,1000
8.424,2000
8.432,2000
8.44,1000
8.448,1000
8.456,1000
8.456,1000
8.456,1000
8.456,1000
8.456,1000
8.64,2000
8.648,2000
8.656,1000
8.664,1000
8.672,1000
8.672,1000
8.672,1000
8.68,1000
8.736,1000
8.752,1000
8.856,2000
8.864,2000
8.888,1000
8.888,1000
8.896,1000
8.896,1000
8.896,1000
8.96,1000
9.0,1000
9.0,1000
9.072,2000
9.08,2000
9.096,1000
9.112,1000
9.112,1000
9.12,1000
9.216,1000
9.232,1000
9.232,1000
9.232,1000
9.288,2000
9.296,2000
9.312,1000
9.312,1000
9.328,1000
9.44,1000
9.448,1000
9.456,1000
9.456,1000
9.456,1000
9.456,1000
9.456,1000
9.504,2000
9.512,2000
9.536,1000
9.656,1000
9.664,1000
9.672,1000
9.672,1000
9.672,1000
9.68,1000
9.704,1000
9.72,2000
9.728,2000
9.736,1000
9.872,1000
9.888,1000
9.888,1000
9.896,1000
9.896,1000
9.896,1000
9.936,2000
9.944,2000
9.944,1000
9.96,1000
10.0,1000
10.096,1000
10.096,1000
10.112,1000
10.112,1000
10.12,1000
10.152,2000
10.16,2000
10.208,1000
10.208,1000
10.216,1000
10.232,1000
10.232,1000
10.304,1000
10.312,1000
10.328,1000
10.368,2000
10.376,2000
10.424,1000
10.432,1000
10.44,1000
10.448,1000
10.456,1000
10.456,1000
10.456,1000
10.456,1000
10.536,1000
10.584,2000
10.592,2000
10.648,1000
10.648,1000
10.656,1000
10.664,1000
10.672,1000
10.672,1000
10.672,1000
10.696,1000
10.728,1000
10.8,2000
10.808,2000
10.872,1000
10.872,1000
