Time,Sequence Number,Event
0,0,send
0,0,transmit
0.208,0,ack
0.208,1000,send
0.208,2000,send
0.208,1000,transmit
0.216,2000,transmit
0.416,1000,ack
0.416,3000,send
0.416,4000,send
0.416,3000,transmit
0.424,2000,ack
0.424,5000,send
0.424,6000,send
0.424,4000,transmit
0.432,5000,transmit
0.44,6000,transmit
0.624,3000,ack
0.624,7000,send
0.624,8000,send
0.624,7000,transmit
0.632,4000,ack
0.632,9000,send
0.632,10000,send
0.632,8000,transmit
0.64,5000,ack
0.64,11000,send
0.64,12000,send
0.64,9000,transmit
0.648,6000,ack
0.648,13000,send
0.648,14000,drop
0.648,10000,transmit
0.656,11000,transmit
0.664,12000,transmit
0.672,13000,transmit
0.832,7000,ack
0.832,15000,send
0.832,16000,send
0.832,15000,transmit
0.84,8000,ack
0.84,17000,send
0.84,18000,send
0.84,16000,transmit
0.848,9000,ack
0.848,19000,send
0.848,20000,send
0.848,17000,transmit
0.856,10000,ack
0.856,21000,send
0.856,22000,send
0.856,18000,transmit
0.864,11000,ack
0.864,23000,send
0.864,24000,send
0.864,19000,transmit
0.872,12000,ack
0.872,25000,send
0.872,26000,send
0.872,20000,transmit
0.88,13000,ack
0.88,27000,send
0.88,28000,send
0.88,21000,transmit
0.888,22000,transmit
0.896,23000,transmit
0.904,24000,transmit
0.912,25000,transmit
0.92,26000,transmit
0.928,27000,transmit
0.936,28000,transmit
1.04,13000,ack
1.048,13000,ack
1.056,13000,ack
1.056,14000,send
1.056,14000,transmit
1.064,13000,ack
1.072,13000,ack
1.08,13000,ack
1.088,13000,ack
1.096,13000,ack
1.104,13000,ack
1.112,13000,ack
1.12,13000,ack
1.128,13000,ack
1.136,13000,ack
1.144,13000,ack
1.264,28000,ack
1.264,29000,send
1.264,30000,send
1.264,29000,transmit
1.272,30000,transmit
1.472,29000,ack
1.472,31000,send
1.472,32000,send
1.472,31000,transmit
1.48,30000,ack
1.48,33000,send
1.48,34000,send
1.48,32000,transmit
1.488,33000,transmit
1.496,34000,transmit
1.68,31000,ack
1.68,35000,send
1.68,36000,send
1.68,35000,transmit
1.688,32000,ack
1.688,37000,send
1.688,38000,send
1.688,36000,transmit
1.696,33000,ack
1.696,39000,send
1.696,40000,send
1.696,37000,transmit
1.704,34000,ack
1.704,41000,send
1.704,38000,transmit
1.712,39000,transmit
1.72,40000,transmit
1.728,41000,transmit
1.888,35000,ack
1.888,42000,send
1.888,42000,transmit
1.896,36000,ack
1.896,43000,send
1.896,43000,transmit
1.904,37000,ack
1.904,44000,send
1.904,44000,transmit
1.912,38000,ack
1.912,45000,send
1.912,45000,transmit
1.92,39000,ack
1.92,46000,send
1.92,46000,transmit
1.928,40000,ack
1.928,47000,send
1.928,47000,transmit
1.936,41000,ack
1.936,48000,send
1.936,49000,send
1.936,48000,transmit
1.944,49000,transmit
2.056,42000,send
2.056,42000,transmit
2.096,42000,ack
2.096,43000,send
2.096,44000,send
2.096,43000,transmit
2.104,43000,ack
2.104,45000,send
2.104,46000,send
2.104,44000,transmit
2.112,44000,ack
2.112,47000,send
2.112,48000,send
2.112,45000,transmit
2.12,45000,ack
2.12,49000,send
2.12,46000,transmit
2.128,46000,ack
2.128,50000,send
2.128,47000,transmit
2.136,47000,ack
2.136,51000,send
2.136,48000,transmit
2.144,48000,ack
2.144,52000,send
2.144,53000,send
2.144,49000,transmit
2.152,49000,ack
2.152,54000,send
2.152,50000,transmit
2.16,51000,transmit
2.168,52000,transmit
2.176,53000,transmit
2.184,54000,transmit
2.264,49000,ack
2.304,49000,ack
2.312,49000,ack
2.312,50000,send
2.312,50000,transmit
2.32,49000,ack
2.328,49000,ack
2.336,49000,ack
2.344,49000,ack
2.352,49000,ack
2.36,50000,ack
2.36,51000,send
2.36,52000,send
2.36,51000,transmit
2.368,51000,ack
2.368,53000,send
2.368,52000,transmit
2.376,52000,ack
2.376,54000,send
2.376,55000,send
2.376,53000,transmit
2.384,53000,ack
2.384,56000,send
2.384,54000,transmit
2.392,54000,ack
2.392,57000,send
2.392,55000,transmit
2.4,56000,transmit
2.408,57000,transmit
2.52,54000,ack
2.568,54000,ack
2.576,54000,ack
2.576,55000,send
2.576,55000,transmit
2.584,54000,ack
2.592,54000,ack
2.6,55000,ack
2.6,56000,send
2.6,57000,send
2.6,56000,transmit
2.608,56000,ack
2.608,58000,send
2.608,57000,transmit
2.616,57000,ack
2.616,59000,send
2.616,60000,send
2.616,58000,transmit
2.624,59000,transmit
2.632,60000,transmit
2.784,57000,ack
2.808,57000,ack
2.816,57000,ack
2.816,58000,send
2.816,58000,transmit
2.824,58000,ack
2.824,59000,send
2.824,60000,send
2.824,59000,transmit
2.832,59000,ack
2.832,61000,send
2.832,60000,transmit
2.84,60000,ack
2.84,62000,send
2.84,63000,send
2.84,61000,transmit
2.848,62000,transmit
2.856,63000,transmit
2.936,61000,send
2.936,61000,transmit
3.024,60000,ack
3.032,60000,ack
3.04,60000,ack
3.04,61000,send
3.04,61000,transmit
3.048,61000,ack
3.048,62000,send
3.048,63000,send
3.048,62000,transmit
3.056,62000,ack
3.056,64000,send
3.056,63000,transmit
3.064,63000,ack
3.064,65000,send
3.064,66000,send
3.064,64000,transmit
3.072,65000,transmit
3.08,66000,transmit
3.144,63000,ack
3.248,63000,ack
3.256,63000,ack
3.256,64000,send
3.256,64000,transmit
3.264,63000,ack
3.272,64000,ack
